nama_pengurus,nama_bank_sampah,alamat_bank_sampah,kecamatan,kelurahan,email,status
Osis,SDN 07,"Jalan Raya Duri Kosambi, Jl. Raya Duri Kosambi, Duri Kosambi, Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11750, Indonesia",Cengkareng,Duri Kosambi,sdndurkos07@gmail.com,Aktif
Osis,SMP 100,"Kapuk, Kapuk, Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Cengkareng,Kapuk,kapuksmp100@gmail.com,Aktif
Osis,SDN 03,"Jalan Kapuk Cengkareng, Jl. Kapuk Cengkareng, Cengkareng Tim., Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730, Indonesia",Cengkareng,Cengkareng Timur,cengtim03sdn@gmail.com,Aktif
Osis,SMPN 248,"Cengkareng Timur, Cengkareng Tim., Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Cengkareng,Cengkareng Timur,cengtim48smpn@gmail.com,Aktif
Osis,SMP 264,"Rawa Buaya, RT.1/RW.6, Cengkareng Bar., Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730, Indonesia",Cengkareng,Rawa Buaya,rawabuaya264smp@gmail.com,Aktif
Osis,SMAN 12,"Duri Kosambi Lurah, Jl. Raya Duri Kosambi, RT.1/RW.1, Duri Kosambi, Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11750, Indonesia",Cengkareng,Duri Kosambi,man12durkos@gmail.com,Aktif
Osis,SMP 132,"Kedaung Kali Angke, Kedaung Kali Angke, Cengkareng, West Jakarta City, Jakarta, Indonesia",Cengkareng,Kedaung Kali Angke,smp132kedaung@gmail.com,Aktif
Dedi,SDN 16,"West Cengkareng, West Cengkareng, Cengkareng, West Jakarta City, Jakarta, Indonesia",Cengkareng,Cengkareng Barat,sdn16cengbar@gmail.com,Aktif
Osis,SDN 14,"Cengkareng, Cengkareng, West Jakarta City, Jakarta, Indonesia",Cengkareng,Cengkareng Barat,sdn14cengbar@gmail.com,Aktif
Rumsilah,Bank Sampah SMAN 23 Jakarta,"Jalan Mandala Utara, Jl. Mandala Utara, Tomang, Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11440, Indonesia",Grogol petamburan,Tomang,rumsilah23@yahoo.co.id,Aktif
Hamzah.S.Pd,SDN Sukabumi Selatan 07,"Jalan Raya Pos Pengumben, Jl. Raya Pos Pengumben, Sukabumi Sel., Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Kb. Jeruk,Sukabumi Selatan,bssdnsukasela07@gmail.com,Aktif
Sukadi,SMKN 60 Jakarta,"Jalan Duri Raya, Jl. Duri Raya, Duri Kepa, Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11510, Indonesia",Kb. Jeruk,Duri Kepa,bssmkn60@gmail.com,Aktif
Eka Yuliarni,Rumah Hijau,"Sekolah Dasar Negeri Grogol 07 Pagi, Jl. Semeru Raya No.1, RW.7, Grogol, Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11450, Indonesia",Grogol petamburan,Grogol,yuliarnieka@gmail.com,Aktif
Jesayas sijabat,BAS PEGAS,"SDN PEGADUNGAN 9 PG/11 PG, Jl. Peta Utara No.9-10, RT.1/RW.18, Pegadungan, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11830, Indonesia",Kalideres,Pegadungan,achmad_triyono11@yahoo.co.id,Aktif
Arif cahyani ilyas,VUN 94,"SMAN 94 Jakarta, Jalan Raya Semanan, RT.4/RW.3, Semanan, Kalideres, RT.4/RW.3, Semanan, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11850, Indonesia",Kalideres,Semanan,banksampahvun@gmail.com,Aktif
Mardi,Bank sampah SDN KAMAL 09 PAGI,"Sekolah Dasar Negeri Kamal 09 Pagi, Jl. Kp. Belakang, RT.11/RW.3, Dadap, Kosambi, Tangerang, Banten 11810, Indonesia",Kosambi,Kamal,sdnkamal9pg@gmail.com,Aktif
Ardiansyah,Bs Cerdas Hati,"SMA NEGERI 95 JAKARTA, Jl. Satu Maret No.49, RT.2/RW.4, Pegadungan, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11830, Indonesia",Kalideres,Pegadungan,bscerdashati95@gmail.com,Aktif
"imamudin, S.Pd",SDN Duri Kepa 03,"Jalan Mangga Raya, Jl. Mangga Raya, Duri Kepa, Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11510, Indonesia",Kb. Jeruk,Duri Kepa,bssdndurikepa03@gmail.com,Aktif
Pak jamil,Bs Serambi mandiri (smpn169),"SMPN 169 Kalideres, Jl. Peta Utara No.11, RT.1/RW.18, Pegadungan, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11830, Indonesia",Kalideres,Pegadungan,bsserambimandiri169@gmail.com,Aktif
Nurhalida,Manalasta,"Madrasah Aliyah Negeri 16 Jkt, Jalan Kamal Raya No.3, RT.6/RW.2, Tegal Alur, Kalideres, RT.6/RW.2, Tegal Alur, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11820, Indonesia",Kalideres,Tegal alur,bsmanalasta16@gmail.com,Aktif
Osis,BSU SMK 53,"Rusun Flamboyan Cengkareng, Jl. Pulo Harapan Indah, RT. 16 / RW. 10, Cengkareng Barat, Cengkareng, RT.6/RW.10, Cengkareng Bar., Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730, Indonesia",Cengkareng,Cengkareng Barat,smkflamboyan53@gmail.com,Aktif
Endang,BSU SMP 176,"Duri Kosambi, Duri Kosambi, Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Cengkareng,Duri Kosambi,smp176durkos@gmail.com,Aktif
Osis,SMPN 201,"Cengkareng Timur, Cengkareng Tim., Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Cengkareng,Cengkareng Timur,smpn201cengtim@gmail.com,Aktif
Osis,SDN 01,"Jalan Daan Mogot, Jl. Daan Mogot, Cengkareng Tim., Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Cengkareng,Cengkareng Timur,sdn01daanmogot@gmail.com,Aktif
Osis,SMP UH,"Sekolah Menengah Pertama Uswatun Hasanah, Jl. Cendrawasih II No.1, RT.9/RW.7, Cengkareng Bar., Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730, Indonesia",Cengkareng,Cengkareng Barat,smpuswatunhasanah22@gmail.com,Aktif
Wildani,SMPN 88,"Jalan Anggrek Garuda, Jl. Anggrek Garuda, Kemanggisan, Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480, Indonesia",Palmerah,Kemanggisan,SMPN88@yahoo.com,Aktif
Durmit,SMAN16@yahoo.com,"Jalan Inspeksi Kali Grogol, Jl. Inspeksi Kali Grogol, Kemanggisan, Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480, Indonesia",Palmerah,Palmerah,SMAN16@yahoo.com,Aktif
Sri Mulyani,SMPN111@gmail.com,"Jalan Kemanggisan Raya, Jl. Kemanggisan Raya, Kemanggisan, Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480, Indonesia",Palmerah,Kemanggisan,SMPN111@gmail.com,Aktif
Nur Syamsi,SMPN 63,"Sekolah Menengah Pertama Negeri 63 Jakarta, Jalan Perniagaan No.31, RT.9/RW.1, Tambora, RT.10/RW.1, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta • 11220, Indonesia",Tambora,Tambora,esempeenamtigabs@gmail.com,Aktif
Benget Silaban,SMPN 32,"Sekolah Menengah Pertama Negeri 32 Jakarta, Jalan Pejagalan Raya No.51, RT.5/RW.4, Pekojan, Tambora, Pekojan, Tambora, Jakarta Barat, Daerah Khusus Ibukota Jakarta 11240, Indonesia",Tambora,Pekojan,esempetigaduabanksampah@gmail.com,Aktif
Yayan,SMKN 09,"SMK Negeri 9 Jakarta, Jalan Gedong Panjang II No.17, RT.2/RW.10, Pekojan, Tambora, RT.2/RW.10, Pekojan, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11240, Indonesia",Tambora,Pekojan,esemkasembilanbanksampah@gmail.com,Aktif
Gugun,SDN 03 Baske,"Jalan Angke Jaya Gang 8, Jl. Angke Jaya Gg. 8, Angke, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11330, Indonesia",Tambora,Angke,sdntigabanksampah@gmail.com,Aktif
"Apipudin,S.Pd",SDN Kebon Jeruk 01,"Jalan Raya Kebon Jeruk, Jl. Raya Kb. Jeruk, Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530, Indonesia",Kb. Jeruk,Kebon Jeruk,sdnkj01pg@yahoo.com,Aktif
Asdi Saputra. S.Pd,SDN Kelapa Dua 06 Pagi,"Jalan Raya Pos Pengumben, Jl. Raya Pos Pengumben, Klp. Dua, Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Kb. Jeruk,Kelapa Dua,sdnkelapadua06pagi@gmail.com,Aktif
"Kamalludin, S. Pd. Sd",SDN Sukabumi Utara 01,"Jalan Adam, Jl. Adam, Sukabumi Utara, Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11540, Indonesia",Kb. Jeruk,Sukabumi Utara,bhr.send84@yahoo.co.id,Aktif
Tri Arina,SDN 17 Kebon Jeruk,"Jalan Arjuna Selatan, Jl. Arjuna Sel., Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530, Indonesia",Kb. Jeruk,Kebon Jeruk,sdnkjtujuhbelaspagi@gmail.com,Aktif
Sunarto,Saduli Peduli Sampah 125,"SMPN125, Jl. Kramat Bunder, RT.5/RW.6, Pegadungan, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11830, Indonesia",Kalideres,Pegadungan,sadulipedulisampah125@gmail.com,Aktif
Marsa Shadrina A,SDN Kebon Jeruk 08,"Jalan Raya Kebon Jeruk, Jl. Raya Kb. Jeruk, Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530, Indonesia",Kb. Jeruk,Kebon Jeruk,sdnk08pagi@gmail.com,Aktif
"Amat Hujeni, S. Pd",SDN 17 Duri Kepa,"Jalan Kompleks Green Ville, Jl. Komp. Green Ville, Duri Kepa, Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11510, Indonesia",Kb. Jeruk,Duri Kepa,sdndurikepa17pagi@gmail.com,Aktif
Zidane Fadillah,SDN 16 Duri Kepa,"Jalan Kompleks Green Ville, Jl. Komp. Green Ville, Duri Kepa, Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11510, Indonesia",Kb. Jeruk,Duri Kepa,sdndureenambelas@yahoo.com,Aktif
Lida Nalida,Sahabat SMA 84,"SMAN 84 JAKARTA, Jalan Peta Barat No.42, Kalideres, Jakarta Barat, Daerah Khusus Ibukota Jakarta 11840, Indonesia",Kalideres,Kalideres,bssahabatsma84@gmail.com,Aktif
Eko,Laskar Hijau,"Sdn Wijaya Kusuma 02 PG, Jl. Wijaya Taman Duta Mas, Jakarta, RT.6/RW.9, Wijaya Kusuma, Grogol petamburan, West Jakarta City, Jakarta 12310, Indonesia",Grogol petamburan,Wijaya Kusuma,banksampahwk02@gmail.com,Aktif
Sugiarti,SD Wijaya Kusuma 05,"Sekolah Dasar Negeri Wijaya Kusuma 05 Pagi, Jl. Barat Karya 3, RT.10/RW.3, Wijaya Kusuma, Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11460, Indonesia",Grogol petamburan,Wijaya Kusuma,banksampahwk05@gmail.com,Aktif
Tri,SDN Wijaya Kusuma 07,"SDN Wijaya Kusuma 07 Pg, Jl. Karya 2 No.8, RT.14/RW.2, Wijaya Kusuma, Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11460, Indonesia",Grogol petamburan,Wijaya Kusuma,banksampahwk07@gmail.com,Aktif
Rohde Arny Sinaga,SMA 17 Berkarya,"Jalan Mangga Besar Selatan, Jl. Mangga Besar Sel., Taman Sari, Tamansari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Tamansari,Taman Sari,sma17berkarya@gmail.com,Aktif
Majid,SMPN 197,"Jalan Kedoya Raya, Jl. Kedoya Raya, Kedoya Sel., Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11520, Indonesia",Kb. Jeruk,Kedoya Utara,smpn197@gmail.com,Aktif
Sujiman,Bs Karunia Sejahtera,"Sekolah Dasar Negeri Semanan 06 Pagi, Jl. Semanan Raya, RT.4/RW.8, Semanan, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11850, Indonesia",Kalideres,Semanan,bskaruniasejahtera06@gmail.com,Aktif
Erwandi,Trush Bank 35,"SMK Negeri 35 Jakarta, Jalan Kerajinan No.42, RT.12/RW.10, Krukut, Tamansari, Krukut, Tamansari, Jakarta Barat, Daerah Khusus Ibukota Jakarta 11140, Indonesia",Tamansari,Krukut,trushbank35@gmail.com,Aktif
Ibu Rahma,Bs Taman Hati,"Sekolah Dasar Negeri Semanan 04 Pagi, Jl. Gaga Utama No.44, RT.4/RW.9, Semanan, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11850, Indonesia",Kalideres,Semanan,bssdnkamal09@gmail.com,Aktif
Atin,SDN Palmerah 25 Pagi,"Sdn 25 pagi palmerah, Gg. Swadaya No.147, RT.5/RW.17, Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480, Indonesia",Palmerah,Palmerah,Sdn25PalmerahPagi@gmail.com,Aktif
Ibu Ponirah,Bs Lisa,"PERPUSTAKAAN SDN SEMANAN 05 PAGI, Jl. Gaga Utama Blok Haji Riman No.75, RT.8/RW.9, Semanan, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11850, Indonesia",Kalideres,Semanan,rohillah.dinda@gmail.com,Aktif
Ibu Duniati,Bs Resik Apik,"SDN Tegal Alur 11 PG, Komp. Kebersihan, Rt. 004 Rw. 04, RT.8/RW.10, Tegal Alur, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11820, Indonesia",Kalideres,Tegal alur,sunartosomopawiro@gmail.com,Aktif
Nita,Bank Sampah Berkah,"Sekolah Dasar Negeri Jelambar Baru 05 Pagi, Jl. Jelambar Selatan XVI, RT.1/RW.9, Jelambar, Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11460, Indonesia",Grogol petamburan,Jelambar Baru,banksampahsdnjb05@gmail.com,Aktif
Ibu Yani,Bs Rezeki Sampah,"Sekolah Dasar Negeri Semanan 10 Pt, Jalan Kp. Gaga No.1, RT.1/RW.3, Semanan, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11850, Indonesia",Kalideres,Semanan,isanjr75@gmail.com,Aktif
Pak pujo,Bs Barokah,"SDN Tegal Alur 08 Pagi, Jl. Sekolah, RT. 007 / RW. 11, Tegal Alur, Kalideres, RT.7/RW.11, Tegal Alur, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11820, Indonesia",Kalideres,Tegal alur,afianisanti052@gmail.com,Aktif
Ibu Wahyuna,Bs Pintu Rizqi,"Sekolah Dasar Negeri Tegal Alur 09 Pagi, Jl. Sekolah, RT.7/RW.11, Tegal Alur, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11820, Indonesia",Kalideres,Tegal alur,wahyuna45@yahoo.com,Aktif
Ibu Isnaini,Bs Basuki,"Sekolah Dasar Negeri Tegal Alur 16 Petang, Jl. Sekolah, RT.7/RW.11, Tegal Alur, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11820, Indonesia",Kalideres,Tegal alur,isnaeni_nisa08@yahoo.co.id,Aktif
Lilis Sarniah,Bank Sampah SD Grogol 05,"Jalan Doktor Semeru Raya, Jl. Dr. Semeru Raya, Grogol, Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11450, Indonesia",Grogol petamburan,Grogol,banksampahgrogol05@yahoo.com,Aktif
Pak Dedi,SD Tanjung Duren Utara,"Tanjung Duren Utara, Tj. Duren Utara, Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Grogol petamburan,Tanjung Duren Utara,banksampahsdtdu01@yahoo.com,Aktif
Ibu Sintia,SD Tanjung Duren Selatan 01,"Tanjung Duren Selatan, Tj. Duren Sel., Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Grogol petamburan,Tanjung Duren Selatan,banksampahsdtds01@yahoo.com,Aktif
Renimawarti,SDN 04 Kedoya Utara,"Jalan Kedoya Raya Utara, Jl. Kedoya Raya Utara, Kedoya Utara, Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11520, Indonesia",Kb. Jeruk,Kedoya Utara,sdnkedut04@gmail.com,Aktif
"Lia Isrowati, M.Pd",Asri,"Sekolah Dasar Negeri Meruya Selatan 01 Pagi, Jl. H. Juhri, RT.8/RW.2, Meruya Sel., Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11650, Indonesia",Kembangan,Meruya Selatan,bs.asri01@gmail.com,Aktif
H.YUSUF,MANALAGI,"Madrasah Tsanawiyah Negeri 36 Jakarta Barat, Jalan Manunggal, RT.5/RW.11, Kapuk, Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11720, Indonesia",Cengkareng,Kapuk,man36_jakarta@yahoo.com,Aktif
Sri Wahyuningsih,MEMBER SEHATI,"Madrasah Alaiyah Negeri 17 Jakarta, Jalan Manunggal I, RT.5/RW.11, Kapuk, Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11720, Indonesia",Cengkareng,Kapuk,sriwahyuningsih@madrasa.id,Aktif
Yulita Priyathi,Anggrek Bulan,"Sekolah Dasar Negeri Kedaung Kaliangke 14 Pagi, Jl. Zamrud, RT.12/RW.7, Kedaung Kali Angke, Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11710, Indonesia",Cengkareng,Kedaung Kali Angke,sdn.kedaung14@gmail.com,Aktif
Leginem,Bank Sampah Melaju Pesat,"SDN Pegadungan 01 Pg / SDN Pegadungan 08 Pt, Jalan Peta Barat, Pegadungan, Kalideres, RT.4/RW.18, Pegadungan, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11830, Indonesia",Kalideres,Pegadungan,tampo70@gmail.com,Aktif
Muhammad Abdul Aziz,Bank Sampah Bas Surez,"SDN Pegadungan 01 Pg / SDN Pegadungan 08 Pt, Jalan Peta Barat, Pegadungan, Kalideres, RT.4/RW.18, Pegadungan, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11830, Indonesia",Kalideres,Pegadungan,ayimas.minggir@gmail.com,Aktif
Reno Herryono,Bank Sampah Matahari Terbit,"SD Negeri Pegadungan 12 Pagi, Jalan Kumbang No. 54, RT. 06 RW. 07, Pegadungan, Kalideres, RT.2/RW.1, Pegadungan, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11830, Indonesia",Kalideres,Pegadungan,masum.alimoh94@gmail.com,Aktif
"Anang Burhan,S.Pd.,M.I.kom",96 Bersih dan Sehat,"SMA Negeri 96 Jakarta, Jalan Jati Raya No.40, Cengkareng Timuruk,Kec, Cengkareng, RT.6/RW.12, Kapuk, Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11720, Indonesia",Cengkareng,Cengkareng Timur,sma96ok@yahoo.com,Aktif
"Isbandiyah,S.Pd.SD",05 Bersih,"SDN CENGKARENG TIMUR 5/6 PG, Jl. Kamal Raya No.12, RT.8/RW.2, Cengkareng Tim., Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730, Indonesia",Cengkareng,Cengkareng Timur,sdnct05pg@gmail.com,Pending
Aprilianti,Bank Sampah Setigas,"Sekolah Dasar Negeri Semanan 13 Petang, Jl. Semanan Raya No.55, RT.5/RW.8, Semanan, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11850, Indonesia",Kalideres,Semanan,aprilianti.rose56@gmail.com,Aktif
Tulus Suratno,Bank Sampah Samterbang,"SD Negeri Pegadungan 12 Pagi, Jalan Kumbang No. 54, RT. 06 RW. 07, Pegadungan, Kalideres, RT.2/RW.1, Pegadungan, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11830, Indonesia",Kalideres,Semanan,sdn_pegadungan12pagi@yahoo.com,Aktif
Sintya,Sutera Falcon,"National High Jakarta School, Jalan Raya Pos Pengumben No.41, RT.6/RW.3, Srengseng, Kembangan, RT.6/RW.3, Srengseng, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11630, Indonesia",Kembangan,Srengseng,bs.suterafalcon@gmail.com,Aktif
Hj Rosmaini,Bank Sampah Mirah Rezeki,"SDN Pegadungan 03 PG, Jl. Peta Utara No.29, RT.2/RW.6, Pegadungan, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11830, Indonesia",Kalideres,Pegadungan,murahrezekipeg03@gmail.com,Aktif
Betty,Bank Sampah Buncis,"Sekolah Dasar Negeri Semanan 08 Pagi, Jl. Semanan Raya No.55, RT.5/RW.3, Semanan, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11850, Indonesia",Kalideres,Semanan,Buncis2018@gmail.com,Aktif
Siti Badriah,SDN Sukabumi Selatan 01,"Jalan Raya Sukabumi Selatan, Jl. Raya Sukabumi Selatan, Sukabumi Sel., Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11560, Indonesia",Kb. Jeruk,Sukabumi Selatan,bssdnsukasela01@gmail.com,Aktif
Bpk Sugi,Bank Sampah SMALVI,"SMA Negeri 56 Jakarta, Jalan Kamal Raya, Tegal Alur, Kalideres, Jakarta Barat, Daerah Khusus Ibukota Jakarta 11820, Indonesia",Kalideres,Tegal alur,penot81@gmail.com,Aktif
Ila Isrowati,Asri SDN Meruya Selatan 01,"Sekolah Dasar Negeri Meruya Selatan 01 Pagi, Jl. H. Juhri, RT.8/RW.2, Meruya Sel., Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11650, Indonesia",Kembangan,Meruya Selatan,mersel.01pg@gmail.com,Pending
Pak Taher,Bank Sampah Cahaya,"SMK Jakarta Satu, RT.1/RW.6, Pegadungan, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11830, Indonesia",Kalideres,Pegadungan,thohiruddinmuhamad@gmail.com,Aktif
Bpk. Teguh,Bank Sampah SDN Tegal Alur 04 Pagi,"SDN TEGAL ALUR 2/4 PG, RT.3/RW.11, Tegal Alur, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11820, Indonesia",Kalideres,Tegal alur,hafidzpermana@gmail.com,Aktif
Kurniahasanah,SDN Kebon Jeruk 02,"Jalan Seruni, Jl. Seruni, Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530, Indonesia",Kb. Jeruk,Kebon Jeruk,sdn02kebonjeruk@gmail.com,Aktif
Rayani,SDN Duri Kepa 13,"Jalan Villa Tomang Mas, Jl. Villa Tomang Mas, Duri Kepa, Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11510, Indonesia",Kb. Jeruk,Duri Kepa,bssdndurikepa13@gmail.com,Aktif
Ila Isrowati,Asri SDN Meruya Selatan 01,"Sekolah Dasar Negeri Meruya Selatan 01 Pagi, Jl. H. Juhri, RT.8/RW.2, Meruya Sel., Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11650, Indonesia",Kembangan,Meruya Selatan,sayjuji@yahoo.com,Pending
Ana Sitepu,Bank Sampah SDN Tegal Alur 02,"Jalan Menceng Raya, Jl. Menceng Raya, Tegal Alur, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11820, Indonesia",Kalideres,Tegal alur,anasitepu35@gmail.com,Pending
"Mukhlis Hardian, S. Pd",SDN Duri Kepa 07,"Jalan Ratu Alamanda, Jl. Ratu Alamanda, Duri Kepa, Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11510, Indonesia",Kb. Jeruk,Duri Kepa,bs07durikepa@gmail.com,Aktif
Sudrajat,Setoedjoe,"SDN Slipi 07 Pagi, Jl. Z No.61, RT.6/RW.2, Slipi, Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410, Indonesia",Palmerah,Slipi,Setoedjoe@yahoo.com,Aktif
Tarmizi,SDN Duri Kepa 05,"Jl. Mangga Raya Blok I No.14, Jl. Mangga Raya Blok I No.14, Duri Kepa, Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11510, Indonesia",Kb. Jeruk,Duri Kepa,bs05durikepa@gmail.com,Aktif
"Sutarmin, S.Pd",SDN Sukatara 04,"6°12'24.5'S 106°46'21.1'E, Jl. H. Buhan No.19, Sukabumi Utara, Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11540, Indonesia",Kb. Jeruk,Sukabumi Utara,bs04sukabumiutara@gmail.com,Aktif
Suyono,BANK SAMPAH SDN KAPUK 06 PAGI,"SDN Kapuk 06 Pagi, Jalan Tenis III, RT.11 / RW. 14, Kapuk, Cengkareng, RT.12/RW.14, Kapuk, Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11720, Indonesia",Cengkareng,Kapuk,banksampah_sdnkapuk06pagi@yahoo.com,Aktif
"Bachtiar Ahmadi, S. Pd",SDN Jembatan Lima 03 Pagi,"Jalan K.H. Muhammad Mansyur, Jl. K.H. Moh. Mansyur, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Tambora,Jembatan Lima,bscbr03@gmail.com,Aktif
Indra Prayitno,SDN Jembatan Lima 01 Pagi,"Jalan K.H. Muhammad Mansyur, Jl. K.H. Moh. Mansyur, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Tambora,Jembatan Lima,banksampahjembatan501@gmail.com,Aktif
"Sri Darminingsih, S.Pd",SDN Kebon Jeruk 04,"Jalan Haji Salman, Jl. H. Salman, Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530, Indonesia",Kb. Jeruk,Kebon Jeruk,bs04kebonjeruk@gmail.com,Aktif
"Dewi Munirah, S.Pd",SDN Sukabumi Utara 03,"Gang Jairin, Gang Jairin, Sukabumi Utara, Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11540, Indonesia",Kb. Jeruk,Sukabumi Utara,sdnsukut-03@gmail.com,Aktif
